File_Name,PSNR_dB,SSIM,LPIPS
000000.png,31.4481,0.9008,0.2564
000001.png,31.5,0.8899,0.3328
000002.png,32.2541,0.9013,0.3323
000003.png,32.9672,0.911,0.3253
000004.png,21.0117,0.6642,0.4072
000005.png,28.2605,0.7004,0.4683
000006.png,28.3412,0.6939,0.475
000007.png,28.1796,0.7001,0.4539
000008.png,21.7987,0.7715,0.3996
000009.png,23.7452,0.7773,0.3648
000010.png,24.4074,0.7631,0.3899
000011.png,24.0069,0.7995,0.3452
000012.png,30.4714,0.778,0.4536
000013.png,24.4265,0.8748,0.4756
000014.png,25.6451,0.9019,0.4496
000015.png,24.1437,0.8851,0.4457
000016.png,27.9466,0.8103,0.3619
000017.png,23.7737,0.9001,0.2401
000018.png,23.8712,0.8974,0.2386
000019.png,23.7344,0.8989,0.2319
000020.png,31.7973,0.8552,0.3762
000021.png,31.4117,0.8837,0.3919
000022.png,31.2665,0.8748,0.3992
000023.png,31.7138,0.8853,0.3863
000024.png,19.4625,0.6739,0.4899
000025.png,22.6121,0.7749,0.3977
000026.png,22.7502,0.7762,0.4012
000027.png,22.527,0.7669,0.3894
000028.png,28.665,0.7476,0.4655
000029.png,24.971,0.8253,0.353
000030.png,25.9161,0.8336,0.3574
000031.png,25.231,0.8325,0.3508
000032.png,30.4522,0.8679,0.3916
000033.png,24.1887,0.7069,0.4231
000034.png,24.5048,0.6549,0.4649
000035.png,24.0626,0.6987,0.4244
000036.png,28.8107,0.7885,0.5539
000037.png,26.4885,0.6809,0.4726
000038.png,25.8202,0.6636,0.4866
000039.png,26.5157,0.6875,0.4647
000040.png,24.9586,0.8342,0.3737
000041.png,25.7677,0.896,0.247
000042.png,24.7929,0.8838,0.2454
000043.png,25.7452,0.8962,0.2364
000044.png,19.4596,0.7874,0.3502
000045.png,24.0049,0.7972,0.403
000046.png,23.8285,0.8074,0.3828
000047.png,23.6258,0.7908,0.4122
000048.png,30.1502,0.9036,0.4146
000049.png,16.8095,0.3462,0.6234
000050.png,16.737,0.3545,0.6245
000051.png,16.4605,0.3452,0.5947
000052.png,26.2249,0.4728,0.6664
000053.png,25.5776,0.7895,0.4139
000054.png,25.8763,0.787,0.4202
000055.png,26.8415,0.841,0.3764
000056.png,26.6355,0.9196,0.2451
000057.png,30.2961,0.7404,0.559
000058.png,31.3194,0.7795,0.5321
000059.png,30.4125,0.7403,0.5724
000060.png,26.5192,0.7419,0.4164
000061.png,30.9233,0.8201,0.4684
000062.png,30.029,0.7897,0.4663
000063.png,30.3598,0.8057,0.5026
000064.png,28.8405,0.9196,0.3358
000065.png,27.059,0.7886,0.3977
000066.png,27.3302,0.8035,0.383
000067.png,26.4067,0.8044,0.3961
000068.png,28.2637,0.798,0.4157
000069.png,32.5119,0.9212,0.2286
000070.png,32.3466,0.9235,0.2064
000071.png,32.7632,0.9243,0.2207
000072.png,25.3543,0.809,0.3679
000073.png,24.8849,0.7249,0.438
000074.png,24.6656,0.7377,0.4094
000075.png,24.1567,0.7292,0.4104
000076.png,32.4624,0.9029,0.3902
000077.png,33.1406,0.8581,0.4326
000078.png,30.1178,0.7844,0.5344
000079.png,32.9037,0.8507,0.4582
000080.png,25.0568,0.8136,0.4614
000081.png,26.0104,0.819,0.3356
000082.png,26.1066,0.8146,0.3364
000083.png,26.1998,0.8083,0.3321
000084.png,22.6666,0.6925,0.3899
000085.png,20.113,0.7617,0.4241
000086.png,19.0519,0.7693,0.4333
000087.png,19.5686,0.777,0.4163
000088.png,34.6065,0.8972,0.3679
000089.png,29.2009,0.8819,0.3408
000090.png,30.7116,0.9144,0.2918
000091.png,30.5479,0.9073,0.3009
000092.png,25.8946,0.7641,0.4297
000093.png,34.9508,0.8768,0.3945
000094.png,32.9113,0.8665,0.3923
000095.png,35.0803,0.8793,0.3981
000096.png,20.457,0.7818,0.3876
000097.png,28.7668,0.858,0.5043
000098.png,29.0301,0.8562,0.4933
000099.png,28.6538,0.8551,0.491
000100.png,31.7145,0.8849,0.3304
000101.png,33.2065,0.8621,0.4569
000102.png,31.983,0.8336,0.4954
000103.png,32.2589,0.8408,0.4779
000104.png,27.0224,0.8019,0.3883
000105.png,33.0464,0.9523,0.1661
000106.png,34.1671,0.9456,0.17
000107.png,32.91,0.9505,0.1602
000108.png,18.6728,0.7205,0.3721
000109.png,22.3063,0.8374,0.2723
000110.png,23.5853,0.84,0.2809
000111.png,23.6365,0.8336,0.2816
000112.png,25.9402,0.8141,0.3431
000113.png,30.8416,0.7797,0.5343
000114.png,29.3544,0.7345,0.5454
000115.png,29.1379,0.8617,0.5031
000116.png,25.4589,0.7456,0.4216
000117.png,26.1011,0.7535,0.4227
000118.png,26.2981,0.7542,0.4198
000119.png,25.8908,0.7406,0.4378
000120.png,28.1136,0.8627,0.358
000121.png,32.6597,0.9223,0.2768
000122.png,30.2815,0.8826,0.3228
000123.png,30.5187,0.9061,0.3091
000124.png,23.0428,0.8534,0.2862
000125.png,26.5741,0.8531,0.2642
000126.png,26.7253,0.8552,0.2479
000127.png,26.6734,0.8572,0.2506
000128.png,31.6114,0.7798,0.5501
000129.png,23.289,0.8424,0.3359
000130.png,23.7766,0.8608,0.3232
000131.png,23.8807,0.8629,0.313
000132.png,30.2001,0.8311,0.5328
000133.png,22.1623,0.48,0.6319
000134.png,26.8508,0.6027,0.5508
000135.png,21.7936,0.5007,0.6272
000136.png,28.1419,0.9008,0.3453
000137.png,28.7988,0.7595,0.3382
000138.png,28.4898,0.7522,0.3559
000139.png,28.7718,0.7418,0.3503
000140.png,23.2935,0.8188,0.3375
000141.png,24.4644,0.8935,0.238
000142.png,24.4728,0.8969,0.2426
000143.png,24.1043,0.8789,0.2678
000144.png,27.1065,0.7225,0.4937
000145.png,30.5676,0.6189,0.6532
000146.png,29.7411,0.5946,0.6425
000147.png,30.5654,0.6181,0.6679
000148.png,25.0244,0.7761,0.423
000149.png,28.5137,0.5864,0.5947
000150.png,27.5787,0.5701,0.5958
000151.png,27.9858,0.5783,0.6072
000152.png,22.7587,0.6877,0.4438
000153.png,29.4288,0.7805,0.5846
000154.png,29.6005,0.7682,0.5867
000155.png,29.2018,0.7715,0.5778
000156.png,25.568,0.9159,0.1896
000157.png,31.389,0.9165,0.3317
000158.png,31.9236,0.9247,0.3264
000159.png,32.2697,0.9309,0.303
000160.png,30.8436,0.9349,0.2184
000161.png,30.3552,0.9317,0.2676
000162.png,29.8999,0.9324,0.2612
000163.png,30.8293,0.9437,0.2567
000164.png,25.1905,0.7936,0.4165
000165.png,29.5979,0.8723,0.3263
000166.png,29.5146,0.8504,0.3565
000167.png,29.9371,0.8508,0.3412
000168.png,24.1632,0.8016,0.395
000169.png,32.021,0.7811,0.5602
000170.png,32.1748,0.7925,0.5576
000171.png,33.5116,0.874,0.4885
000172.png,27.1881,0.5389,0.6072
000173.png,23.3979,0.3346,0.7188
000174.png,24.0831,0.3414,0.7492
000175.png,23.6825,0.3463,0.7046
000176.png,24.1818,0.7609,0.3596
000177.png,25.6841,0.4215,0.7247
000178.png,29.8625,0.5697,0.7089
000179.png,26.0703,0.4175,0.7781
000180.png,36.3435,0.9179,0.2943
000181.png,28.6585,0.7713,0.3585
000182.png,27.9593,0.776,0.3573
000183.png,27.822,0.7702,0.3408
000184.png,23.4805,0.7169,0.4029
000185.png,32.4566,0.9316,0.3112
000186.png,31.1626,0.9207,0.3268
000187.png,31.3341,0.9216,0.3159
000188.png,24.6458,0.8025,0.4085
000189.png,24.6819,0.832,0.3261
000190.png,25.0134,0.8349,0.3376
000191.png,25.221,0.8269,0.3328
000192.png,27.8307,0.8544,0.5384
000193.png,27.2878,0.9164,0.2106
000194.png,27.9366,0.9213,0.2109
000195.png,28.3328,0.9251,0.2158
000196.png,24.3921,0.7709,0.4057
000197.png,28.2566,0.8602,0.3627
000198.png,27.5737,0.8364,0.3778
000199.png,27.0782,0.8289,0.374
000200.png,26.7685,0.4477,0.71
000201.png,31.3898,0.7321,0.557
000202.png,32.2858,0.7648,0.5597
000203.png,32.8093,0.7719,0.5776
000204.png,24.1187,0.8494,0.446
000205.png,22.3714,0.806,0.3392
000206.png,21.0405,0.7786,0.3347
000207.png,21.6391,0.803,0.3152
000208.png,31.522,0.7823,0.4838
000209.png,30.5414,0.7451,0.4977
000210.png,31.2095,0.7666,0.4857
000211.png,31.2873,0.7876,0.4638
000212.png,29.7741,0.9102,0.2883
